Station,Fork.,Selskab,Status,Strækning,Bemærkninger
Gudenåen,Gås,Banedanmark,÷ P,Ar-Ab,Sidespor i højre spor Ar-Ab
Guldager,Gu,Banedanmark,P,Es-Str,Station
Gørding,Gø,Banedanmark,P,Lk-Es,Trinbræt
Gørlev,Gv,Kalundborg Kommune,÷ P,Øn-Gv,Station. Veteranbane
Gørløse,Gør,Lokaltog A/S,P,Hi-Hun,Station
Gårde,Gå,Banedanmark,P,Es-Str,Trinbræt
Hadsten,Ha,Banedanmark,P,Ar-Ab,Station
Hammerum,Hu,Banedanmark,P,Sd-Sj,Station
Hanehoved,Hhf,Lokaltog A/S,P,Hi-Hun,Trinbræt
Harboøre,Hbø,Midtjyske Jernbaner,P,Vem-Thb,Station
Hareskov,Har,Banedanmark,P,Sam (nær)-Fm,Station
Haslev,Hz,Banedanmark,P,Ro-Kj-Næ,Station
Hasselager,Hc,Banedanmark,÷ P,Fa-Ar,Sidespor i højre spor Ar-Fa
Havdrup,Hd,Banedanmark,P,Ro-Kj-Næ,Station
Havrebjerg,Heb,Lokaltog A/S,÷ P,Tø-Sg,Station
Hedehusene,Hh,Banedanmark,P,Kh-Fa/Tl,Trinbræt med sidespor
Hedensted,Hed,Banedanmark,P,Fa-Ar,Station
Hee,He,Banedanmark,P,Es-Str,Trinbræt
Helgoland,Hgl,Banedanmark,÷ P,Kh-Hg,Station
Hellebæk,Hel,Lokaltog A/S,P,Hg-Gll,Station
Hellerup,Hl,Banedanmark,P,Kh (nær)-Gj, Hl-Kl (nær), Ig (nær)-Hl, Kh-Hg,Station
Helsinge,Hlg,Lokaltog A/S,P,Hi-Tvl,Station
Helsingør,Hg,Banedanmark,P,Kh-Hg, Hg-Gll,Station
Henne,He,VNJ,P,Va-Nbl,Station
Herfølge,Hf,Banedanmark,P,Ro-Kj-Næ,Station
Herlev,Her,Banedanmark,P,Val (nær)-Fs,Station
Herning,Hr,Banedanmark,P,Ho-Vj, Sd-Sj,Station
Herning Messecenter,Hrm,Banedanmark,P,Sd-Sj,Trinbræt
Herregårdsparken,Hgp,Nordjyske Jernbaner,P,Hj-Hhs,Trinbræt
Hesselmed,Hs,VNJ,÷ P,Va-Nbl,Station
Hillerød,Hi,Banedanmark,P,Gj-Hi, Hi-Hun, Hi-Tvl, Hi-Sq,Station
Himlingøje,Hmø,Lokaltog A/S,P,Kj-Fxl,Trinbræt
Hinnerup,Hn,Banedanmark,P,Ar-Ab,Station
Hirtshals,Hhs,Nordjyske Jernbaner,P,Hj-Hhs,Station
Hjallese,Hjs,Banedanmark,P,Od-Svg,Trinbræt
Hjerm,Hm,Banedanmark,P,Es-Str,Station
Hjulby,Ju,Banedanmark,÷ P,Kh-Fa/Tl,Station
Hjørring,Hj,Banedanmark,P,Ab-Fh, Hj-Hhs,Station
Hobro,Hb,Banedanmark,P,Ar-Ab,Station
Holbæk,Hk,Banedanmark,P,Ro-Kb, Hk-Nk,Station
Holløse,Hog,Lokaltog A/S,P,Hi-Tvl,Trinbræt
Holme-Olstrup,Ol,Banedanmark,P,Ro-Kj-Næ,Station
Holmstrup,Hp,Banedanmark,P,Kh-Fa/Tl,Station
Holstebro,Ho,Banedanmark,P,Es-Str, Ho-Vj,Station
Holsted,Hq,Banedanmark,P,Lk-Es,Station
Holte,Hot,Banedanmark,P,Gj-Hi,Station
Hornbæk,Hnk,Lokaltog A/S,P,Hg-Gll,Station
